  USAF  WBAN YR--MODAHRMN DIR SPD GUS CLG SKC L M H  VSB MW MW MW MW AW AW AW AW W TEMP DEWP    SLP   ALT    STP MAX MIN PCP01 PCP06 PCP24 PCPXX SD
724940 23234 201509010000 270  22 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   71   57 1011.8 ***** 1008.7  76  60 ***** ***** ***** ***** ** 
724940 23234 201509010056 270  23 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   68   56 1011.5 29.87 1010.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201509010156 270  18 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   65   56 1011.5 29.87 1010.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201509010256 250  14 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   64   55 1011.5 29.87 1010.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201509010356 250   9 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   63   56 1012.0 29.89 1011.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201509010456 270  13 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   63   56 1012.1 29.89 1011.6 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201509010556 250   7 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   63   56 1012.0 29.89 1011.6  71  63  0.00 ***** ***** ***** ** 
724940 23234 201509010600 250   7 *** *** SCT * * * 10.0 ** ** ** ** ** ** ** ** *   63   56 1012.0 ***** 1009.0  71  60 ***** ***** ***** ***** ** 
724940 23234 201509010656 220   5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   62   56 1011.9 29.88 1011.3 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201509010756 230   5 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   61   56 1011.8 29.88 1011.3  76  60  0.00 ***** ***** ***** ** 
724940 23234 201509010759 *** *** *** *** *** * * * **** ** ** ** ** ** ** ** ** * **** **** ****** ***** ******  76 *** ***** *****  0.00 ***** ** 
724940 23234 201509010856 220   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   61   55 1011.6 29.87 1010.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201509010956 ***   0 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   61   56 1011.4 29.87 1010.9 *** ***  0.00 ***** ***** ***** ** 
724940 23234 201509011056 290   3 *** 722 SCT * * * 10.0 ** ** ** ** ** ** ** ** *   60   55 1011.3 29.87 1010.9 *** ***  0.00 ***** ***** ***** ** 
